stage,project,run_id,name,state,created_at,alg,map_name,total_timesteps,test_num_envs,runtime_s,gpu_name,gpu_count
pilot,pilot-runs,zc2g62ua,mappo_rnn_default_ToyExample-v2_984081941,finished,2026-05-25T09:24:02Z,mappo_rnn,ToyExample-v2,50000000,1000,4310.682046903,,
pilot,pilot-runs,7ns62evo,ippo_rnn_default_Cologne-v1_3124406597,finished,2026-05-25T09:24:03Z,ippo_rnn,Cologne-v1,50000000,1000,5132.526806455,,
pilot,pilot-runs,a5vy3pd4,ippo_rnn_default_Cologne-v1_777491651,finished,2026-05-25T09:24:03Z,ippo_rnn,Cologne-v1,50000000,1000,5149.145803579,,
pilot,pilot-runs,ailkj3sk,ippo_rnn_default_ToyExample-v2_1047208549,finished,2026-05-25T09:24:03Z,ippo_rnn,ToyExample-v2,50000000,1000,3267.565146089,,
pilot,pilot-runs,bcyxfuj6,ippo_rnn_default_ToyExample-v2_3882058302,finished,2026-05-25T09:24:03Z,ippo_rnn,ToyExample-v2,50000000,1000,3294.423586849,,
pilot,pilot-runs,hzxkmhve,ippo_rnn_default_CologneBonnDusseldorf-v1_2993502867,finished,2026-05-25T09:24:03Z,ippo_rnn,CologneBonnDusseldorf-v1,50000000,1000,31193.560408264,,
pilot,pilot-runs,p42rghqg,ippo_rnn_default_CologneBonnDusseldorf-v1_1875822263,finished,2026-05-25T09:24:03Z,ippo_rnn,CologneBonnDusseldorf-v1,50000000,1000,31196.930193939,,
pilot,pilot-runs,ptgckpfj,ippo_rnn_default_ToyExample-v2_1275856419,finished,2026-05-25T09:24:03Z,ippo_rnn,ToyExample-v2,50000000,1000,3199.57235496,,
pilot,pilot-runs,zmgibnlx,ippo_rnn_default_Cologne-v1_747216617,finished,2026-05-25T09:24:03Z,ippo_rnn,Cologne-v1,50000000,1000,5087.753426633,,
pilot,pilot-runs,4e0dvh1c,ippo_rnn_default_CologneBonnDusseldorf-v1_106958560,finished,2026-05-25T09:24:04Z,ippo_rnn,CologneBonnDusseldorf-v1,50000000,1000,31104.880559381,,
pilot,pilot-runs,35a3iefm,mappo_rnn_default_ToyExample-v2_3046776968,finished,2026-05-25T09:24:10Z,mappo_rnn,ToyExample-v2,50000000,1000,4339.217039116,,
pilot,pilot-runs,kaqlumo8,mappo_rnn_default_ToyExample-v2_3118676224,finished,2026-05-25T09:24:23Z,mappo_rnn,ToyExample-v2,50000000,1000,4331.404065842,,
pilot,pilot-runs,7czyjw5r,mappo_rnn_default_Cologne-v1_1671512468,finished,2026-05-25T11:51:47Z,mappo_rnn,Cologne-v1,50000000,1000,7890.174487888,Tesla V100S-PCIE-32GB,1.0
pilot,pilot-runs,huydejk0,mappo_rnn_default_Cologne-v1_306502863,finished,2026-05-25T11:51:47Z,mappo_rnn,Cologne-v1,50000000,1000,7603.50542927,Tesla V100S-PCIE-32GB,1.0
pilot,pilot-runs,lqoiu0od,mappo_rnn_default_Cologne-v1_2854611408,finished,2026-05-25T11:51:47Z,mappo_rnn,Cologne-v1,50000000,1000,7623.19633436,Tesla V100S-PCIE-32GB,1.0
pilot,pilot-runs,1ivdzsv3,mappo_rnn_default_CologneBonnDusseldorf-v1_2381161266,finished,2026-05-26T08:02:44Z,mappo_rnn,CologneBonnDusseldorf-v1,50000000,1000,38948.841204904,Tesla V100S-PCIE-32GB,1.0
pilot,pilot-runs,e6reskmu,mappo_rnn_default_CologneBonnDusseldorf-v1_1820480162,finished,2026-05-26T08:02:44Z,mappo_rnn,CologneBonnDusseldorf-v1,50000000,1000,38782.47808355,Tesla V100S-PCIE-32GB,1.0
pilot,pilot-runs,x9lu2kzo,mappo_rnn_default_CologneBonnDusseldorf-v1_935027453,finished,2026-05-26T08:02:44Z,mappo_rnn,CologneBonnDusseldorf-v1,50000000,1000,38772.304003598,Tesla V100S-PCIE-32GB,1.0
pilot,pilot-runs,0pqiuzm4,pqn_rnn_road_env_ToyExample-v2_3202082927,finished,2026-06-22T20:10:49Z,pqn_rnn,ToyExample-v2,50000000,1000,9255.451390162,Tesla V100S-PCIE-32GB,1.0
pilot,pilot-runs,4pmclah6,pqn_rnn_road_env_ToyExample-v2_209840587,finished,2026-06-22T20:10:49Z,pqn_rnn,ToyExample-v2,50000000,1000,9255.028578091,Tesla V100S-PCIE-32GB,1.0
pilot,pilot-runs,flx2p4vx,pqn_rnn_road_env_ToyExample-v2_3245685091,finished,2026-06-22T20:10:50Z,pqn_rnn,ToyExample-v2,50000000,1000,9258.850368141,Tesla V100S-PCIE-32GB,1.0
pilot,pilot-runs,qen6xc7o,pqn_rnn_road_env_Cologne-v1_4095012847,finished,2026-06-23T16:16:20Z,pqn_rnn,Cologne-v1,50000000,1000,23565.153523055,Tesla V100S-PCIE-32GB,1.0
pilot,pilot-runs,w130ul5c,pqn_rnn_road_env_Cologne-v1_375566927,finished,2026-06-23T16:16:20Z,pqn_rnn,Cologne-v1,50000000,1000,23694.683823848,Tesla V100S-PCIE-32GB,1.0
pilot,pilot-runs,zoq2odc0,pqn_rnn_road_env_Cologne-v1_2549486875,finished,2026-06-23T16:16:20Z,pqn_rnn,Cologne-v1,50000000,1000,23549.673968595,Tesla V100S-PCIE-32GB,1.0
pilot,pilot-runs,5lschjr0,pqn_rnn_road_env_CologneBonnDusseldorf-v1_1130571083,finished,2026-06-23T18:47:48Z,pqn_rnn,CologneBonnDusseldorf-v1,50000000,1000,79338.85729303,Tesla V100S-PCIE-32GB,1.0
pilot,pilot-runs,wlngcbts,pqn_rnn_road_env_CologneBonnDusseldorf-v1_405150779,finished,2026-06-23T18:47:48Z,pqn_rnn,CologneBonnDusseldorf-v1,50000000,1000,78919.64337103,Tesla V100S-PCIE-32GB,1.0
pilot,pilot-runs,zz0deosk,pqn_rnn_road_env_CologneBonnDusseldorf-v1_875688908,finished,2026-06-23T18:56:48Z,pqn_rnn,CologneBonnDusseldorf-v1,50000000,1000,80979.446240283,Tesla V100S-PCIE-32GB,1.0
